PartNumber;CAI;CAD;Modelo;TipoProduto;UnidadeMedida;Volume;Altura;Largura;Comprimento
321951;321951;321951_101;26.5 R 25 XTXL E4 TL ****;Pneu;Peca;0;0;0;0
340111;340111;340111_199;BATTERY FOR COMMAND UNIT (PDA);MEMS;Peca;0;0;0;0
360425;360425;360425_101;295/80R22.5 X WORKS Z TL 152/148K VM MI;Pneu;Peca;0;0;0;0
372138;372138;372138_101;14.00 R 20 XMINE D2   TL;Pneu;Peca;562;36.8;123.6;123.6
376896;376896;376896_199;MEMS MODULE 3G - GPS TRANSCEIVER;MEMS;Peca;0;0;0;0
387950;387950;387950_9EA;PROTETOR 110-9 LDE;Protetor;Peca;0;0;0;0
389451;389451;389451_101;295/80R22.5 X MULTI D2 TL 152/148L VG MI;Pneu;Peca;0;0;0;0
395114;395114;395114_101;27.00 R 49 XDR3 B4 E4R TL***;Pneu;Peca;0;0;0;0
395918;250257;250257_101;11.00 R 22 X WORKS Z ;Pneu;Peca;0;0;0;0
420914;420914;420914_199;CAN SPLITTER CABLES;MEMS;Peca;0;0;0;0
427926;427926;427926_101;29.5 R 25 XTXL E4 **** L4 *** TL;Pneu;Peca;0;0;0;0
462505;462505;462505_199;KIT 3G/WIFI/BT/GPS ANTENNA  13m;MEMS;Peca;0;0;0;0
470320;470320;470320_101;27.00 R 49 X-TRACTION RD B E4T TL **;Pneu;Peca;0;0;0;0
477977;477977;477977_115;325/95 R24 X WORKS XD;Pneu;Peca;508;32.1;125.8;125.8
499802;499802;499802_199;MEMS MODULE RF FOR TRANSCEIVER;MEMS;Peca;0;0;0;0
500851;551552;551552_101;275/80 R 22.5 X MULTI D TL ;Pneu;Peca;0;0;0;0
540020;540020;540020_107;445/65 R 22.5 XZY ;Pneu;Peca;533;35.2;123.1;123.1
540244;540244;540244_101;37.25 R 35 XTS TL **;Pneu;Peca;5370;95.6;237;237
542794;542794;542794_101;19.5 R24 (500/70 R 24 XMCL);Pneu;Peca;1788;75.2;154.2;154.2
545624;545624;545624_101;10.00 R 20 XDY 3;Pneu;Peca;418;32.4;113.6;113.6
553217;553217;553217_101;10.00 R 20 X FORCE XZY 3 ;Pneu;Peca;418;32.4;113.6;113.6
572248;443664;443664_101;295/80R22.5 X MULTI Z+ TL 152/148L VG MI ;Pneu;Peca;0;0;0;0
575769;575769;575769_101;ANEL A.ET. 165 TL15 - (7.50R15 ou 8.25R15);Anel;Peca;0;0;0;0
589014;589014;589014_101;PASTA DE MONTAGEM 3.600KG LUBRIFIANT ;Pasta de Montagem;Peca;0;0;0;0
592188;592188;592188_101;35/65 R 33 XLDD2 A L5 TL **;Pneu;Peca;3930;92.6;206;206
596578;596578;596578_101;10.00 R 20 XZE 2 147/143K MI;Pneu;Peca;0;0;0;0
636158;56419;056419_101;11.00 R 22 X WORKS HD D ;Pneu;Peca;0;0;0;0
642068;642068;642068_101;27.00 R 49 XDR2 B4 E4R TL **;Pneu;Peca;5512;73.8;273.3;273.3
658816;658816;658816_199;KIT 3G/WIFI/BT/GPS ANTENNA  10m;MEMS;Peca;0;0;0;0
667421;667421;667421_101;27.00 R 49 XDR3 A E4R TL ***;Pneu;Peca;0;0;0;0
686348;686348;686348_101;18.00 R 25 XSM D2 + TL **;Pneu;Peca;1377;50.4;165.3;165.3
689443;689443;689443_101;26.5 R 25 X-SUPER TERRAIN AD E4T TL 193B;Pneu;Peca;2059;68;174;174
694482;694482;694482_101;18.00R25 XSM D2+ LC;Pneu;Peca;0;0;0;0
749050;749050;749050_101;235/75 R 17.5 X MULTI Z TL ;Pneu;Peca;276;27.9;99.5;99.5
750847;750847;750847_199;ACTIVE ANTENNA CABLE 10m;MEMS;Peca;0;0;0;0
753456;753456;753456_199;TRIMBLE NOMAD ANTENNA (LONG);MEMS;Peca;0;0;0;0
764857;764857;764857_101;27.00 R 49 XDR3 B E4R TL ***;Pneu;Peca;0;0;0;0
769360;769360;769360_101;23.5 R 25 X-SUPER TERRAIN AD E4T TL 185B;Pneu;Peca;1588;60.3;162.3;162.3
775766;775766;775766_101;29.5 R 25 XTXL E4 TL ****;Pneu;Peca;0;0;0;0
778245;778245;778245_101;385/95 R 24 X-CRANE AT;Pneu;Peca;696;37.6;136.1;136.1
798082;798082;798082_199;MEMS TRANSCEIVER EVO3;MEMS;Peca;0;0;0;0
811767;811767;811767_199;KIT MEMS4 IN CAB DISPLAY;MEMS;Peca;0;0;0;0
817331;817331;817331_199;ACTIVE ANTENNA CABLE 15m;MEMS;Peca;0;0;0;0
820840;820840;820840_199;NEW ANTENNA A (WITH BLACK MARK) 15M;MEMS;Peca;0;0;0;0
845075;845075;845075_101;35/65 R 33 XTXL E4 **** L4 *** TL;Pneu;Peca;0;0;0;0
854499;854499;854499_199;ADJUSTABLE ACTIVE ANTENNA – 20m;MEMS;Peca;0;0;0;0
858472;858472;858472_101;26.5 R 25 XMINE D2 PRO L5 TL ***;Pneu;Peca;0;0;0;0
871916;871916;871916_101;33.25 R 29 XTS TL **;Pneu;Peca;3733;87.3;206.8;206.8
873291;873291;873291_101;18.00 R 33 X-QUARRY-S E4R TL  **;Pneu;Peca;0;0;0;0
875519;875519;875519_199;IN CAB DISPLAY EVOLUTION3;MEMS;Peca;0;0;0;0
877887;877887;877887_128;325/95 R24 X WORKS XZ ;Pneu;Peca;508;32.1;125.8;125.8
893825;893825;893825_101;26.5 R 25 XHA2 TL;Pneu;Peca;2034;67.8;173.2;173.2
899613;899613;899613_101;20.5 R 25 XHA2 TL;Pneu;Peca;1166;52.8;148.6;148.6
904287;904287;904287_9FA;PROTETOR 15X7.50 E MI;Protetor;Peca;0;0;0;0
904571;904571;904571_199;PATCH MEMS - ORDER X30;MEMS;Peca;0;0;0;0
928866;928866;928866_199;COMMUNICATIONS PORT CONNECTOR;MEMS;Peca;0;0;0;0
940473;940473;940473_101;29.5 R 25 XTRA DEFEND E5;Pneu;Peca;0;0;0;0
954749;954749;954749_101;16.90 R 24 ( 440/80 R 24 XMCL);Pneu;Peca;1788;75.2;154.2;154.2
960299;960299;960299_199;MEMS ACTIVE ANTENNA V3;MEMS;Peca;0;0;0;0
961307;961307;961307_101;29.5 R 25 XHA2 TL;Pneu;Peca;2584;74.7;186;186
